coolant_temperature,oil_pressure,oil_TDN1,oil_temp1,oil_TDN2,oil_temp2,vibration_1_x,vibration_1_y,vibration_1_z,vibration_1_n,vibration_2_x,vibration_2_y,vibration_2_z,vibration_2_n,vibration_3_x,vibration_3_y,vibration_3_z,vibration_3_n,vibration_4_x,vibration_4_y,vibration_4_z,vibration_4_n,vtotal_rms,vtotal_rms_noise,vtotal_x_rms,vtotal_y_rms,band
59.75,9.498432602,514.6,10.81,693.8,20.77,13.59896,15.35999,15.01477,102.726,5.240767,4.731358,6.61453,103.9911,8.070657,15.13431,50.1566,100.715,10.31842,10.78939,30.74238,104.4517,16.345,72.171,24.649,10.905,5
61.5,9.373040752,514.6,10.81,717,22.05,11.63756,12.83569,15.55425,101.84,5.240767,4.731358,6.61453,103.9911,8.070657,15.13431,50.1566,100.715,10.31842,10.78939,30.74238,104.4517,16.345,72.171,24.649,10.905,5
63,9.373040752,515.7,10.87,717,22.05,12.55152,12.85389,15.15353,103.9218,6.238905,5.084348,7.379021,104.955,8.070657,15.13431,50.1566,100.715,10.31842,10.78939,30.74238,104.4517,18.323,71.781,28.897,9.813,5
64.5,9.310344828,515.7,10.87,717,22.05,12.11283,12.28248,15.9974,103.0121,6.238905,5.084348,7.379021,104.955,8.070657,15.13431,50.1566,100.715,10.16627,11.10087,32.89201,106.2273,15.692,72.037,24.099,9.009,5
66.5,9.247648903,516.2,10.9,717,22.05,11.16225,10.70037,15.47395,103.3523,6.238905,5.084348,7.379021,104.955,8.070657,15.13431,50.1566,100.715,9.621751,10.15496,30.09215,105.6462,16.318,72.339,25.309,9.06,5
27.375,9.686520376,508.9,10.49,462.3,7.91,20.0085,13.03893,18.64682,101.569,5.240767,4.731358,6.61453,103.9911,12.4731,9.497977,19.1698,98.85326,11.28303,11.6911,30.53031,106.1658,0.025,59.316,0.025,0.023,5
27.875,9.623824451,511.5,10.67,462.3,7.91,20.0085,13.03893,18.64682,101.569,5.240767,4.731358,6.61453,103.9911,12.4731,9.497977,19.1698,98.85326,9.992903,10.52096,28.54148,104.4245,0.025,59.316,0.025,0.023,5
28.375,9.623824451,513.1,10.75,462.3,7.91,20.0085,13.03893,18.64682,101.569,5.240767,4.731358,6.61453,103.9911,12.4731,9.497977,19.1698,98.85326,11.50411,10.59419,34.47658,103.4271,16.153,103.714,15.497,19.064,5
29.125,9.498432602,514.1,10.78,462.3,7.91,20.0085,13.03893,18.64682,101.569,5.240767,4.731358,6.61453,103.9911,12.4731,9.497977,19.1698,98.85326,10.31842,10.78939,30.74238,104.4517,16.153,103.714,15.497,19.064,5
29.875,9.498432602,514.6,10.81,462.3,7.91,23.59245,12.93535,17.69807,104.6834,5.240767,4.731358,6.61453,103.9911,12.4731,9.497977,19.1698,98.85326,10.31842,10.78939,30.74238,104.4517,16.153,103.714,15.497,19.064,5
30.5,9.373040752,514.6,10.81,462.3,7.91,23.59245,12.93535,17.69807,104.6834,5.240767,4.731358,6.61453,103.9911,12.91811,9.889061,17.51781,100.2342,10.31842,10.78939,30.74238,104.4517,16.153,103.714,15.497,19.064,5
31.25,9.373040752,515.7,10.87,462.3,7.91,23.59245,12.93535,17.69807,104.6834,6.238905,5.084348,7.379021,104.955,12.91811,9.889061,17.51781,100.2342,10.31842,10.78939,30.74238,104.4517,16.153,103.714,15.497,19.064,5
32,9.310344828,515.7,10.87,462.3,7.87,23.59245,12.93535,17.69807,104.6834,6.238905,5.084348,7.379021,104.955,12.91811,9.889061,17.51781,100.2342,10.16627,11.10087,32.89201,106.2273,16.153,103.714,15.497,19.064,5
32.5,9.247648903,516.2,10.9,461.7,7.87,23.59245,12.93535,17.69807,104.6834,6.238905,5.084348,7.379021,104.955,12.91811,9.889061,17.51781,100.2342,9.621751,10.15496,30.09215,105.6462,16.153,103.714,15.497,19.064,5
